round,path,mode,threads,object_size,count,throughput_mbps,lat_p50_ms,lat_p95_ms,lat_p99_ms,cpu_user_s,cpu_sys_s,cpu_pct,wall_s
1,rdma,put,4,67108864,32,1374.21,179.985,240.767,255.516,0.01329,0.368311,25.6054,1.49031
2,rdma,put,4,67108864,32,1530.42,161.116,230.415,241.926,0.009461,0.281884,21.7715,1.3382
1,gds,put,4,67108864,32,3456.35,76.4704,93.1204,102.976,0.012712,0.086919,16.8144,0.592533
2,gds,put,4,67108864,32,7553.08,33.8241,36.3655,42.7062,0.008514,0.047356,20.605,0.271147
1,http,put,4,67108864,32,861.131,285.073,313.941,324.827,0.016755,1.16326,49.6167,2.37827
2,http,put,4,67108864,32,966.662,264.178,279.3,281.027,0.01275,1.16067,55.3859,2.11863
